panel,factor,iteration,dependency_id,operation,metric,value,unit
b,0.0,9,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,523.48,us
b,0.0,9,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,183.442,us
b,0.0,9,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,51179.567,us
b,0.0,9,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,430.948,us
b,0.0,9,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,178.701,us
b,0.0,9,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,251.031,us
b,0.0,9,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,200.82,us
b,0.0,9,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,86.476,us
b,0.0,9,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,199.859,us
b,0.0,9,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,421.382,us
b,0.0,9,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,73.5,us
b,0.0,9,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,210.834,us
b,0.0,9,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,377.637,us
b,0.0,10,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,180.158,us
b,0.0,10,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,5183.278,us
b,0.0,10,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,382.444,us
b,0.0,10,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,166.038,us
b,0.0,10,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,28127.331,us
b,0.0,10,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,462.94,us
b,0.0,10,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,72.246,us
b,0.0,10,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,30720.132,us
b,0.0,10,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,432.928,us
b,0.0,10,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,177.221,us
b,0.0,10,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,49111.84,us
b,0.0,10,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,211.641,us
b,0.0,10,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,183.337,us
b,0.0,10,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,2571.365,us
b,0.0,10,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,194.441,us
b,0.0,10,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,178.737,us
b,0.0,10,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,288.138,us
b,0.0,10,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,339.207,us
b,0.0,10,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,78.704,us
b,0.0,10,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,216.46,us
b,0.0,10,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,418.867,us
b,0.5,3,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,456.001,us
b,0.5,3,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,425.506,us
b,0.5,3,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,461.34,us
b,0.5,3,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,85.426,us
b,0.5,3,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,15457.752,us
b,0.5,3,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,756.851,us
b,0.5,3,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,448.254,us
b,0.5,3,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,22532.598,us
b,0.5,3,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,523.787,us
b,0.5,3,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,91.585,us
b,0.5,3,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,33027.057,us
b,0.5,3,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,499.349,us
b,0.5,3,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,105.91,us
b,0.5,3,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,7833.269,us
b,0.5,3,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,376.704,us
b,0.5,3,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,79.322,us
b,0.5,3,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,156.976,us
b,0.5,3,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,786.403,us
b,0.5,3,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,75.985,us
b,0.5,3,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,144.43,us
b,0.5,3,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,526.997,us
b,0.5,4,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,431.696,us
b,0.5,4,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,4199.803,us
b,0.5,4,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,360.921,us
b,0.5,4,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,354.672,us
b,0.5,4,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,19698.415,us
b,0.5,4,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,418.251,us
b,0.5,4,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,78.345,us
b,0.5,4,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,22384.509,us
b,0.5,4,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,529.004,us
b,0.5,4,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,85.871,us
b,0.5,4,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,34541.85,us
b,0.5,4,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,519.782,us
b,0.5,4,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,420.523,us
b,0.5,4,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,1192.59,us
b,0.5,4,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,378.692,us
b,0.5,4,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,78.28,us
b,0.5,4,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,146.696,us
b,0.5,4,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,516.362,us
b,0.5,4,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,74.669,us
b,0.5,4,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,142.55,us
b,0.5,4,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,527.011,us
b,0.5,5,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,185.657,us
b,0.5,5,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,290.311,us
b,0.5,5,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,841.563,us
b,0.5,5,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,183.873,us
b,0.5,5,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,12032.903,us
b,0.5,5,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,725.987,us
b,0.5,5,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,77.346,us
b,0.5,5,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,25040.677,us
b,0.5,5,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,685.343,us
b,0.5,5,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,87.708,us
b,0.5,5,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,39082.13,us
b,0.5,5,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,858.198,us
b,0.5,5,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,104.257,us
b,0.5,5,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,9373.734,us
b,0.5,5,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,630.015,us
b,0.5,5,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,72.101,us
b,0.5,5,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,122.995,us
b,0.5,5,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,620.509,us
b,0.5,5,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,189.856,us
b,0.5,5,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,243.544,us
b,0.5,5,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,637.85,us
b,0.5,6,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,189.798,us
b,0.5,6,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,1034.919,us
b,0.5,6,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,399.157,us
b,0.5,6,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,75.949,us
b,0.5,6,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,15937.208,us
b,0.5,6,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,435.487,us
b,0.5,6,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,72.936,us
b,0.5,6,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,24008.166,us
b,0.5,6,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,536.249,us
b,0.5,6,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,82.847,us
b,0.5,6,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,21666.564,us
b,0.5,6,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,597.578,us
b,0.5,6,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,194.772,us
b,0.5,6,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,6046.288,us
b,0.5,6,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,439.968,us
b,0.5,6,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,79.21,us
